variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
himalayan pink salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
food color ins 150d,sugarcane,NULL,colour,colour,refining,NULL,NULL,0,0,0.8,0.75,0,0.8,0.32,0.545,2,False,False
annatto ins 160b ii,annatto,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False
vitamins vitamin b2,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
stabilizer ins 1422,tapioca,acetylation,modified starch powder,stabiliser,NULL,starch flour,thickener,0.94,0.96,0.65,0.94,0.96,0.65,0.83,0.83,3,False,False
emulsifier ins 1450,corn | tapioca,acetylation,modified starch powder,emulsifier|stabiliser,NULL,starch flour,thickener,0.94,0.96,0.825,0.94,0.96,0.825,0.9,0.9,3,False,False
stabilizer ins 1450,corn | tapioca,acetylation,modified starch powder,emulsifier|stabiliser,NULL,starch flour,thickener,0.94,0.96,0.825,0.94,0.96,0.825,0.9,0.9,3,False,False
stabilizer ins 1400,corn,NULL,modified starch powder,stabiliser,NULL,starch flour,thickener,0,0.96,0.65,0,0.96,0.65,0.548,0.548,2,False,False
stabilizer ins 1404,tapioca,NULL,modified starch powder,stabiliser,NULL,starch flour,thickener,0,0.96,0.65,0,0.96,0.65,0.548,0.548,2,False,False
tropical flavouring,synthetic,synthetic flavors,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.99,0.86,0.675,0.99,0.86,0.675,0.825,0.825,3,False,False
organic ginger root,ginger,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
dried ginger powder,ginger,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
dried glucose syrup,corn | tapioca,drying,syrup,sweetener|bulking agent,?hydrolysis,granules|powder,NULL,0.42,0.4,0.625,0.6,0.8,0.625,0.496,0.67,2,False,True
hazelnut flavouring,hazelnut,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
magnesium aspartate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
magnesium carbonate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
magnesium gluconate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
magnesium hydroxide,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,acidity regulator,0,0.98,0.12,0,0.98,0.86,0.342,0.638,2,False,False
magnesium threonate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
refined wheat flour,wheat,refining|milling,flour/fine powder,base ingredient,NULL,NULL,flour treatment agent,0.75,0.33,0.12,0.75,0.33,0.93,0.372,0.696,2,False,False
alphonso mango pulp,mango,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
skimmed milk powder,milk,skim/defatted meal,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
coconut milk powder,coconut,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
defatted soya flour,soybean,skim/defatted meal|milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
soya flour defatted,soybean,skim/defatted meal|milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
soy protein isolate,soybean,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
rawberry flavouring,synthetic,synthetic flavors,NULL,flavouring agent,NULL,NULL,taste profile / spice,0.99,0,0.675,0.99,0,0.675,0.567,0.567,2,False,False
sunflower fruit oil,sunflower,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
vitamin a palmitate,palm,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,False,False
vital wheat protein,wheat,NULL,protein concentrate,base ingredient,NULL,protein isolate,NULL,0,0.74,0.12,0,0.78,0.12,0.27,0.282,1,False,False
aregulators ins 341,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
humectant ins 451 i,mineral,NULL,crystalline chemical,humectant,NULL,NULL,stabiliser,0,0.98,0.425,0,0.98,0.65,0.464,0.554,2,False,False
sequestrant ins 451,mineral,NULL,crystalline chemical,sequestrant,NULL,NULL,stabiliser,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False
sequestrant ins 452,mineral,NULL,crystalline chemical,sequestrant,NULL,NULL,stabiliser,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False
potassium carbonate,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
magnesium carbonate,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
antioxidant ins 330,synthetic | corn,fermentation,crystalline chemical,antioxidant|preservative,NULL,NULL,acidity regulator,0.56,0.98,0.885,0.56,0.98,0.885,0.816,0.816,3,False,False
organic fennel seed,fennel,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
partly skimmed milk,milk,skim/defatted meal,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
acetic acid ins 260,synthetic,fermentation,crystalline chemical,acidity regulator,NULL,NULL,preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
malted barley flour,barley,milling|fermentation,flour/fine powder,base ingredient,NULL,NULL,NULL,0.56,0.33,0.12,0.56,0.33,0.12,0.315,0.315,2,False,False
basmati rice grains,rice,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
cluster bean powder,cluster bean,NULL,powder,thickener,drying|milling,flour/fine powder,base ingredient,0,0.42,0.615,0.42,0.42,0.615,0.372,0.498,2,False,False
big cardamom powder,cardamom,NULL,powder,taste profile / spice,drying|milling,NULL,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
black pepper powder,black pepper,NULL,powder,taste profile / spice,drying|milling,NULL,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
butterscotch pieces,milk | sugarcane,NULL,dense block,sweetener|flavouring agent,NULL,granules,NULL,0,0.38,0.675,0,0.8,0.675,0.384,0.51,2,False,False
cauliflower florets,cauliflower,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
malt extract solids,barley,solvent extraction,extract/oleoresin,sweetener,NULL,concentrate,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False
green chilli flakes,chilli,drying,flakes,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.36,0.18,0.42,0.36,0.675,0.306,0.504,2,False,False
roasted cumin seeds,cumin,roasting,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.05,0.18,0.58,0.05,0.675,0.261,0.459,1,True,False
emulsifier ins 4806,palm | soybean | sunflower,NULL,NULL,emulsifier,NULL,NULL,stabiliser,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False
stabilizer ins 4806,palm | soybean | sunflower,NULL,NULL,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
stabilizer ins 1202,synthetic,NULL,NULL,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
emulsifier tween 80,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
confectioners glaze,lac beetle,NULL,resin,glazing agent,NULL,NULL,NULL,0,0.86,0,0,0.86,0,0.258,0.258,1,False,False
cardamom flavouring,cardamom,NULL,extract/oleoresin,flavouring agent,NULL,powder,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
stabilizer guar gum,guar,NULL,gum,stabiliser|thickener,NULL,powder,gelling agent,0,0,0.65,0,0.42,0.675,0.26,0.396,1,True,False
emulsifier lecithin,soybean | sunflower,NULL,emulsifier powder,emulsifier,solvent extraction,oil,NULL,0,0.89,0.825,0.82,0.89,0.825,0.597,0.843,2,True,False
sunflower lecithins,sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,oil,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
candied lemon peels,lemon,?candied,cut/sliced pieces,sweetener,NULL,NULL,flavouring agent,0,0.1,0.625,0,0.1,0.675,0.28,0.3,1,True,True
whole dew bean moth,moth bean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
parsley leaf powder,parsley,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
pea protein isolate,pea,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
stabilizer ins e440,apple | citrus,NULL,NULL,stabiliser|thickener,NULL,NULL,gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
sichuan pepper corn,sichuan peppercorn,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
stabilizer ins 1201,synthetic,NULL,NULL,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
flattened rice poha,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
rosemary flavouring,rosemary,NULL,extract/oleoresin,flavouring agent,drying,powder,taste profile / spice,0,0.86,0.675,0.42,0.86,0.675,0.528,0.654,2,False,False
sequestrant ins 385,synthetic,NULL,crystalline chemical,sequestrant,NULL,NULL,NULL,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False
antioxidant ins 386,synthetic,NULL,crystalline chemical,antioxidant,NULL,NULL,preservative,0,0.98,0.875,0,0.98,0.885,0.644,0.648,2,False,False
stabilizer tara gum,tara tree,NULL,gum,stabiliser|thickener,NULL,powder,gelling agent,0,0,0.65,0,0.42,0.675,0.26,0.396,1,True,False
vanillin flavouring,synthetic,synthetic vanillin,crystalline chemical,flavouring agent,NULL,powder,taste profile / spice,0.98,0.98,0.675,0.98,0.98,0.675,0.858,0.858,3,False,False
white pepper powder,white peppercorn,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
asparagus recemosus,asparagus recemosus,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
sweet potato starch,sweet potato,NULL,starch flour,base ingredient,NULL,NULL,thickener,0,0.6,0.12,0,0.6,0.615,0.228,0.426,1,True,False
emulsifier ins 4726,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 472b,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 472c,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
dioscores bulbifera,dioscorea bulbifera,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
distillate of gajar,carrot,distillation,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
distillate of kasni,kasni,distillation,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
stabilizer ins 1102,synthetic,NULL,NULL,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
stabilizer ins 1505,synthetic,NULL,NULL,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
stabilizer ins 1204,synthetic,NULL,crystalline chemical,stabiliser,NULL,NULL,NULL,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False
vegetable shortening,palm | soybean | groundnut,hydrogenation|interesterification,fat fraction,lipid base,refining,NULL,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False
edible vegetable fat,palm | soybean | sunflower | groundnut,refining,fat fraction,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.72,0.22,0.82,0.72,0.22,0.529,0.55,2,False,False
edible vegetable oil,palm | soybean | sunflower | groundnut,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
edible vegeteble oil,palm | soybean | sunflower | groundnut,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
raw mango flavouring,mango,NULL,extract/oleoresin,flavouring agent,NULL,juice,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
milkotin milk solids,milk,NULL,powder,base ingredient,?spray drying|concentration,concentrate,NULL,0,0.42,0.12,0.48,0.42,0.12,0.174,0.318,1,True,True
foxtail millet flour,foxtail millet,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
sorghum millet flour,sorghum,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
pistachio flavouring,pistachio,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
refined ricebran oil,rice,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
refined soyabean oil,soybean,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False
soya protein isolate,soybean,NULL,protein isolate,base ingredient,solvent extraction,NULL,NULL,0,0.78,0.12,0.82,0.78,0.12,0.282,0.528,1,True,False
inverter sugar syrup,sugarcane,?inversion,syrup,sweetener,refining,juice,NULL,0,0.4,0.625,0.75,0.5,0.625,0.37,0.625,2,False,True
rising agent ins 575,corn | tapioca,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
texturizer ins 451 i,synthetic,NULL,crystalline chemical,texturizer,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
sodium polyphosphate,mineral,NULL,crystalline chemical,sequestrant,NULL,NULL,stabiliser,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False
emulsifier ins 452 i,mineral,NULL,crystalline chemical,emulsifier,NULL,NULL,NULL,0,0.98,0.825,0,0.98,0.825,0.624,0.624,2,False,False
stabilizer ins 452 i,mineral,NULL,crystalline chemical,stabiliser,NULL,NULL,NULL,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False
potassium phosphates,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,stabiliser,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
preservative ins 341,mineral,NULL,crystalline chemical,preservative,NULL,NULL,acidity regulator,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
ammonium bicarbonate,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
rising agent ins 503,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False
potassium carbonates,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
stabilizer ins 170 i,mineral,NULL,crystalline chemical,stabiliser,NULL,NULL,firming agent,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False
compounded asafetida,asafoetida | wheat,?compounding,extract/oleoresin,taste profile / spice,NULL,powder,flavouring agent,0.35,0.86,0.18,0.35,0.86,0.675,0.435,0.633,2,False,True
yeast extract powder,yeast,NULL,extract/oleoresin|powder,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
petit-lait en poudre,milk,NULL,whey powder,base ingredient,?spray drying,NULL,NULL,0,0.52,0.12,0.42,0.52,0.12,0.204,0.33,1,True,True
acesulfame potassium,synthetic,NULL,crystalline chemical,sweetener,NULL,NULL,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False
dahi starter culture,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
lactic acid ferments,synthetic,fermentation,NULL,preservative,NULL,NULL,acidity regulator,0.56,0,0.885,0.56,0,0.885,0.522,0.522,2,False,False
enzyme alpha amylase,aspergillus oryzae | barley,?enzymatic,powder,flour treatment agent,NULL,NULL,NULL,0,0.42,0.93,0,0.42,0.93,0.498,0.498,2,False,True
coffee beans arabica,coffee,NULL,whole/fresh pieces,flavouring agent,roasting,NULL,taste profile / spice,0,0.05,0.675,0.58,0.05,0.675,0.285,0.459,1,True,False
coffee beans robusta,coffee,NULL,whole/fresh pieces,flavouring agent,roasting,NULL,taste profile / spice,0,0.05,0.675,0.58,0.05,0.675,0.285,0.459,1,True,False
chickpea flour besan,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
large cardamom whole,cardamom,NULL,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0,0.05,0.18,0.42,0.05,0.675,0.087,0.411,1,True,False
blueberry flavouring,blueberry,NULL,extract/oleoresin,flavouring agent,NULL,juice,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
emulsifier ins 460 i,wood,NULL,powder,emulsifier,NULL,NULL,thickener,0,0.42,0.825,0,0.42,0.825,0.456,0.456,2,False,False
stabilizer ins 460 i,wood,NULL,powder,stabiliser,NULL,NULL,thickener,0,0.42,0.65,0,0.42,0.65,0.386,0.386,2,False,False
cottage cheese chena,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
chocolate flavouring,cocoa,NULL,extract/oleoresin,flavouring agent,NULL,powder,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
cranberry flavouring,cranberry,NULL,extract/oleoresin,flavouring agent,NULL,juice,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
roasted cumin powder,cumin,roasting,powder,taste profile / spice,drying,NULL,flavouring agent,0.58,0.42,0.18,0.58,0.42,0.675,0.372,0.57,2,False,False
thickener acacia gum,acacia,NULL,gum,thickener|stabiliser,NULL,NULL,gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
sorbitan tristearate,palm | soybean | sunflower,interesterification,emulsifier powder,emulsifier,NULL,NULL,NULL,0.91,0.89,0.825,0.91,0.89,0.825,0.87,0.87,3,False,False
ferric pyrophosphate,mineral,NULL,crystalline chemical,antioxidant,NULL,NULL,NULL,0,0.98,0.875,0,0.98,0.875,0.644,0.644,2,False,False
monosodium glutamate,synthetic | sugarcane | corn,fermentation,crystalline chemical,taste profile / spice,NULL,NULL,flavouring agent,0.56,0.98,0.18,0.56,0.98,0.675,0.534,0.732,2,True,False
confectioner's glaze,lac beetle,NULL,extract/oleoresin,coating agent,NULL,NULL,glazing agent,0,0.86,0,0,0.86,0,0.258,0.258,1,False,False
pharmaceutical glaze,lac beetle,NULL,extract/oleoresin,coating agent,NULL,NULL,glazing agent,0,0.86,0,0,0.86,0,0.258,0.258,1,False,False
split chickpea flour,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
green tea flavouring,green tea,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
emulsifier lecithins,soybean | sunflower,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
split yellow lentils,lentil,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
roasted mustard seed,mustard,roasting,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0.58,0.05,0.18,0.58,0.05,0.675,0.261,0.459,1,True,False
